,tweet,label,tweet_clean,tokens,stopwords,tweet_tokens_stopwords_stemmed,detokenize
0,Saya malah baru tahu alasan kenaikan harga BBM adalah perang. Dampak Perang Rusia-Ukraina jelas terjadi saat Pemerintah menaikkan anggaran subsidi energi dari Rp 152 T menjadi Rp 502 T. Lalu penambahan kuota dan pelemahan Rupiah berpotensi meningatkan beban subsidi sd Rp 700 T.,0,saya malah baru tahu alasan kenaikan harga bbm adalah perang dampak perang rusia ukraina jelas terjadi saat pemerintah menaikkan anggaran subsidi energi dari rp  t menjadi rp  t lalu penambahan kuota dan pelemahan rupiah berpotensi meningatkan beban subsidi sd rp  t ,"['saya', 'malah', 'baru', 'tahu', 'alasan', 'kenaikan', 'harga', 'bbm', 'adalah', 'perang', 'dampak', 'perang', 'rusia', 'ukraina', 'jelas', 'terjadi', 'saat', 'pemerintah', 'menaikkan', 'anggaran', 'subsidi', 'energi', 'dari', 'rp', 't', 'menjadi', 'rp', 't', 'lalu', 'penambahan', 'kuota', 'dan', 'pelemahan', 'rupiah', 'berpotensi', 'meningatkan', 'beban', 'subsidi', 'sd', 'rp', 't']","['alasan', 'kenaikan', 'harga', 'bbm', 'perang', 'dampak', 'perang', 'rusia', 'ukraina', 'pemerintah', 'menaikkan', 'anggaran', 'subsidi', 'energi', 'rp', 't', 'rp', 't', 'penambahan', 'kuota', 'pelemahan', 'rupiah', 'berpotensi', 'meningatkan', 'beban', 'subsidi', 'sd', 'rp', 't']","['alas', 'naik', 'harga', 'bbm', 'perang', 'dampak', 'perang', 'rusia', 'ukraina', 'perintah', 'naik', 'anggar', 'subsidi', 'energi', 'rp', 't', 'rp', 't', 'tambah', 'kuota', 'lemah', 'rupiah', 'potensi', 'meningatkan', 'beban', 'subsidi', 'sd', 'rp', 't']",alas naik harga bbm perang dampak perang rusia ukraina perintah naik anggar subsidi energi rp t rp t tambah kuota lemah rupiah potensi meningatkan beban subsidi sd rp t
1,"Berdalih subisidi yang salah sasaran, pemerintah resmi menaikkan harga BBM pada 3 September 2022. Hingga kini, hal ini masih dapat berbagai penolakan. 

Inilah kumpulan dokumentasi aksi penolakan kenaikan harga BBM di 8 kota di Indonesia.

https://t.co/21FpoTYuQ6 https://t.co/vvzGBpQGUN",0,berdalih subisidi yang salah sasaran pemerintah resmi menaikkan harga bbm pada  september  hingga kini hal ini masih dapat berbagai penolakan inilah kumpulan dokumentasi aksi penolakan kenaikan harga bbm di  kota di indonesia ,"['berdalih', 'subisidi', 'yang', 'salah', 'sasaran', 'pemerintah', 'resmi', 'menaikkan', 'harga', 'bbm', 'pada', 'september', 'hingga', 'kini', 'hal', 'ini', 'masih', 'dapat', 'berbagai', 'penolakan', 'inilah', 'kumpulan', 'dokumentasi', 'aksi', 'penolakan', 'kenaikan', 'harga', 'bbm', 'di', 'kota', 'di', 'indonesia']","['berdalih', 'subisidi', 'salah', 'sasaran', 'pemerintah', 'resmi', 'menaikkan', 'harga', 'bbm', 'september', 'penolakan', 'kumpulan', 'dokumentasi', 'aksi', 'penolakan', 'kenaikan', 'harga', 'bbm', 'kota', 'indonesia']","['dalih', 'subisidi', 'salah', 'sasar', 'perintah', 'resmi', 'naik', 'harga', 'bbm', 'september', 'tolak', 'kumpul', 'dokumentasi', 'aksi', 'tolak', 'naik', 'harga', 'bbm', 'kota', 'indonesia']",dalih subisidi salah sasar perintah resmi naik harga bbm september tolak kumpul dokumentasi aksi tolak naik harga bbm kota indonesia
2,8 videografer dari 8 kota mendokumentasikan aksi mahasiswa menolak kenaikan harga BBM. Segera di Watchdoc Kolaborasi. https://t.co/SdX9Ty50U3,0, videografer dari  kota mendokumentasikan aksi mahasiswa menolak kenaikan harga bbm segera di watchdoc kolaborasi ,"['videografer', 'dari', 'kota', 'mendokumentasikan', 'aksi', 'mahasiswa', 'menolak', 'kenaikan', 'harga', 'bbm', 'segera', 'di', 'watchdoc', 'kolaborasi']","['videografer', 'kota', 'mendokumentasikan', 'aksi', 'mahasiswa', 'menolak', 'kenaikan', 'harga', 'bbm', 'watchdoc', 'kolaborasi']","['videografer', 'kota', 'dokumentasi', 'aksi', 'mahasiswa', 'tolak', 'naik', 'harga', 'bbm', 'watchdoc', 'kolaborasi']",videografer kota dokumentasi aksi mahasiswa tolak naik harga bbm watchdoc kolaborasi
3,"Perang Rusia-Ukraina dimulai bulan Feb &amp; harga minyak hari ini lebih rendah dari bulan Jan..

Alasan kenaikan BBM krn perang jadi tdk relevan, para penyembah ahok auto mingkem!! https://t.co/7MqXeKX5gL",0,perang rusia ukraina dimulai bulan feb harga minyak hari ini lebih rendah dari bulan jan alasan kenaikan bbm krn perang jadi tdk relevan para penyembah ahok auto mingkem ,"['perang', 'rusia', 'ukraina', 'dimulai', 'bulan', 'feb', 'harga', 'minyak', 'hari', 'ini', 'lebih', 'rendah', 'dari', 'bulan', 'jan', 'alasan', 'kenaikan', 'bbm', 'krn', 'perang', 'jadi', 'tdk', 'relevan', 'para', 'penyembah', 'ahok', 'auto', 'mingkem']","['perang', 'rusia', 'ukraina', 'feb', 'harga', 'minyak', 'rendah', 'jan', 'alasan', 'kenaikan', 'bbm', 'krn', 'perang', 'tdk', 'relevan', 'penyembah', 'ahok', 'auto', 'mingkem']","['perang', 'rusia', 'ukraina', 'feb', 'harga', 'minyak', 'rendah', 'jan', 'alas', 'naik', 'bbm', 'krn', 'perang', 'tdk', 'relevan', 'sembah', 'ahok', 'auto', 'mingkem']",perang rusia ukraina feb harga minyak rendah jan alas naik bbm krn perang tdk relevan sembah ahok auto mingkem
4,Pengingkaran Elite di Balik Kenaikan Harga BBM https://t.co/Qs6KVNyh71,0,pengingkaran elite di balik kenaikan harga bbm ,"['pengingkaran', 'elite', 'di', 'balik', 'kenaikan', 'harga', 'bbm']","['pengingkaran', 'elite', 'kenaikan', 'harga', 'bbm']","['ingkar', 'elite', 'naik', 'harga', 'bbm']",ingkar elite naik harga bbm
5,"Tahun lalu rata2 upah (UMR) hanya naik 1,09% pertahun, inflasi makanan sudah 11.5% dan bisa cepat naik ke 15% akibat kenaikan harga BBM &amp; pelemahan rupiah. Ini namanya â€˜program pemiskinan masal buruhâ€™ ? Kok tega, ngakunya Pancasila, ngakunya merah putih ? Pancasila jangan slogan!",-1,tahun lalu rata upah umr hanya naik   pertahun inflasi makanan sudah   dan bisa cepat naik ke  akibat kenaikan harga bbm pelemahan rupiah ini namanya program pemiskinan masal buruh kok tega ngakunya pancasila ngakunya merah putih pancasila jangan slogan ,"['tahun', 'lalu', 'rata', 'upah', 'umr', 'hanya', 'naik', 'pertahun', 'inflasi', 'makanan', 'sudah', 'dan', 'bisa', 'cepat', 'naik', 'ke', 'akibat', 'kenaikan', 'harga', 'bbm', 'pelemahan', 'rupiah', 'ini', 'namanya', 'program', 'pemiskinan', 'masal', 'buruh', 'kok', 'tega', 'ngakunya', 'pancasila', 'ngakunya', 'merah', 'putih', 'pancasila', 'jangan', 'slogan']","['upah', 'umr', 'pertahun', 'inflasi', 'makanan', 'cepat', 'akibat', 'kenaikan', 'harga', 'bbm', 'pelemahan', 'rupiah', 'namanya', 'program', 'pemiskinan', 'masal', 'buruh', 'tega', 'ngakunya', 'pancasila', 'ngakunya', 'merah', 'putih', 'pancasila', 'slogan']","['upah', 'umr', 'tahun', 'inflasi', 'makan', 'cepat', 'akibat', 'naik', 'harga', 'bbm', 'lemah', 'rupiah', 'nama', 'program', 'miskin', 'masal', 'buruh', 'tega', 'ngakunya', 'pancasila', 'ngakunya', 'merah', 'putih', 'pancasila', 'slogan']",upah umr tahun inflasi makan cepat akibat naik harga bbm lemah rupiah nama program miskin masal buruh tega ngakunya pancasila ngakunya merah putih pancasila slogan
6,"Setelah Harga BBM 2x Naik, SPBU Vivo Tetap Ramai.

Suasana SPBU Vivo Tendean, setelah BBM Vivo Revvo 89 dinaikkan 2x menjadi Rp. 11.600,-/liter tetap ramai walaupun lebih mahal dari BBM Pertalite Pertamina RON 90 dg harga Rp. 10.000,-/liter. https://t.co/6Iu8UxDQDQ",0,setelah harga bbm x naik spbu vivo tetap ramai suasana spbu vivo tendean setelah bbm vivo revvo  dinaikkan x menjadi rp   liter tetap ramai walaupun lebih mahal dari bbm pertalite pertamina ron  dg harga rp   liter ,"['setelah', 'harga', 'bbm', 'x', 'naik', 'spbu', 'vivo', 'tetap', 'ramai', 'suasana', 'spbu', 'vivo', 'tendean', 'setelah', 'bbm', 'vivo', 'revvo', 'dinaikkan', 'x', 'menjadi', 'rp', 'liter', 'tetap', 'ramai', 'walaupun', 'lebih', 'mahal', 'dari', 'bbm', 'pertalite', 'pertamina', 'ron', 'dg', 'harga', 'rp', 'liter']","['harga', 'bbm', 'x', 'spbu', 'vivo', 'ramai', 'suasana', 'spbu', 'vivo', 'tendean', 'bbm', 'vivo', 'revvo', 'dinaikkan', 'x', 'rp', 'liter', 'ramai', 'mahal', 'bbm', 'pertalite', 'pertamina', 'ron', 'dg', 'harga', 'rp', 'liter']","['harga', 'bbm', 'x', 'spbu', 'vivo', 'ramai', 'suasana', 'spbu', 'vivo', 'tendean', 'bbm', 'vivo', 'revvo', 'naik', 'x', 'rp', 'liter', 'ramai', 'mahal', 'bbm', 'pertalite', 'pertamina', 'ron', 'dg', 'harga', 'rp', 'liter']",harga bbm x spbu vivo ramai suasana spbu vivo tendean bbm vivo revvo naik x rp liter ramai mahal bbm pertalite pertamina ron dg harga rp liter
7,Gimana mau dibilang â€˜arif-bijaksanaâ€™ kalau menyusahkan hidup rakyat dengan menaikkan harga BBM padahal harga minyak dunia sedang rendah2nya??? https://t.co/ejaRS8AXBL,-1,gimana mau dibilang arif bijaksana kalau menyusahkan hidup rakyat dengan menaikkan harga bbm padahal harga minyak dunia sedang rendahnya ,"['gimana', 'mau', 'dibilang', 'arif', 'bijaksana', 'kalau', 'menyusahkan', 'hidup', 'rakyat', 'dengan', 'menaikkan', 'harga', 'bbm', 'padahal', 'harga', 'minyak', 'dunia', 'sedang', 'rendahnya']","['gimana', 'dibilang', 'arif', 'bijaksana', 'menyusahkan', 'hidup', 'rakyat', 'menaikkan', 'harga', 'bbm', 'harga', 'minyak', 'dunia', 'rendahnya']","['gimana', 'bilang', 'arif', 'bijaksana', 'susah', 'hidup', 'rakyat', 'naik', 'harga', 'bbm', 'harga', 'minyak', 'dunia', 'rendah']",gimana bilang arif bijaksana susah hidup rakyat naik harga bbm harga minyak dunia rendah
8,"@Nada10062503 @jokowi Naik Akab 100 ribu aja lu ribut, gmn kalo lu naik kereta cepat ?
Calo, preman terminal &amp; PO bus yg naikin harga knp pak Jokowi yg disalahkan ?
Kan dia yg menaikkan harga BBM ?
Bukan tp menarik subsidi BBM, sampai kapan org2 kaya disubsidi ?
Lagian lu jln kaki aja pake lewat TOL.",1, naik akab  ribu aja lu ribut gmn kalo lu naik kereta cepat calo preman terminal po bus yg naikin harga knp pak jokowi yg disalahkan kan dia yg menaikkan harga bbm bukan tp menarik subsidi bbm sampai kapan org kaya disubsidi lagian lu jln kaki aja pake lewat tol ,"['naik', 'akab', 'ribu', 'aja', 'lu', 'ribut', 'gmn', 'kalo', 'lu', 'naik', 'kereta', 'cepat', 'calo', 'preman', 'terminal', 'po', 'bus', 'yg', 'naikin', 'harga', 'knp', 'pak', 'jokowi', 'yg', 'disalahkan', 'kan', 'dia', 'yg', 'menaikkan', 'harga', 'bbm', 'bukan', 'tp', 'menarik', 'subsidi', 'bbm', 'sampai', 'kapan', 'org', 'kaya', 'disubsidi', 'lagian', 'lu', 'jln', 'kaki', 'aja', 'pake', 'lewat', 'tol']","['akab', 'ribu', 'aja', 'lu', 'ribut', 'gmn', 'kalo', 'lu', 'kereta', 'cepat', 'calo', 'preman', 'terminal', 'po', 'bus', 'yg', 'naikin', 'harga', 'knp', 'jokowi', 'yg', 'disalahkan', 'yg', 'menaikkan', 'harga', 'bbm', 'tp', 'menarik', 'subsidi', 'bbm', 'org', 'kaya', 'disubsidi', 'lu', 'jln', 'kaki', 'aja', 'pake', 'tol']","['akab', 'ribu', 'aja', 'lu', 'ribut', 'gmn', 'kalo', 'lu', 'kereta', 'cepat', 'calo', 'preman', 'terminal', 'po', 'bus', 'yg', 'naikin', 'harga', 'knp', 'jokowi', 'yg', 'salah', 'yg', 'naik', 'harga', 'bbm', 'tp', 'tarik', 'subsidi', 'bbm', 'org', 'kaya', 'subsidi', 'lu', 'jln', 'kaki', 'aja', 'pake', 'tol']",akab ribu aja lu ribut gmn kalo lu kereta cepat calo preman terminal po bus yg naikin harga knp jokowi yg salah yg naik harga bbm tp tarik subsidi bbm org kaya subsidi lu jln kaki aja pake tol
9,Gubernur Jawa Tengah @ganjarpranowo mengajak mahasiswa untuk berani menggelar aksi menyikapi penyesuaian harga BBM bersubsidi dengan mengawasi penyaluran bantuan sosial yang merupakan kompensasi bagi masyarakat yang terdampak. https://t.co/MJrU01eGjw,0,gubernur jawa tengah mengajak mahasiswa untuk berani menggelar aksi menyikapi penyesuaian harga bbm bersubsidi dengan mengawasi penyaluran bantuan sosial yang merupakan kompensasi bagi masyarakat yang terdampak ,"['gubernur', 'jawa', 'tengah', 'mengajak', 'mahasiswa', 'untuk', 'berani', 'menggelar', 'aksi', 'menyikapi', 'penyesuaian', 'harga', 'bbm', 'bersubsidi', 'dengan', 'mengawasi', 'penyaluran', 'bantuan', 'sosial', 'yang', 'merupakan', 'kompensasi', 'bagi', 'masyarakat', 'yang', 'terdampak']","['gubernur', 'jawa', 'mengajak', 'mahasiswa', 'berani', 'menggelar', 'aksi', 'menyikapi', 'penyesuaian', 'harga', 'bbm', 'bersubsidi', 'mengawasi', 'penyaluran', 'bantuan', 'sosial', 'kompensasi', 'masyarakat', 'terdampak']","['gubernur', 'jawa', 'ajak', 'mahasiswa', 'berani', 'gelar', 'aksi', 'sikap', 'sesuai', 'harga', 'bbm', 'subsidi', 'awas', 'salur', 'bantu', 'sosial', 'kompensasi', 'masyarakat', 'dampak']",gubernur jawa ajak mahasiswa berani gelar aksi sikap sesuai harga bbm subsidi awas salur bantu sosial kompensasi masyarakat dampak
10,"Harga minyak dunia lagi turun-turunnya nih. Bismillahâ€¦ semoga bisa menular ke harga BBM yah ğŸ™ğŸ¼

| Mata Najwa https://t.co/LbQ6H9VUTF",0,harga minyak dunia lagi turun turunnya nih bismillah semoga bisa menular ke harga bbm yah mata najwa ,"['harga', 'minyak', 'dunia', 'lagi', 'turun', 'turunnya', 'nih', 'bismillah', 'semoga', 'bisa', 'menular', 'ke', 'harga', 'bbm', 'yah', 'mata', 'najwa']","['harga', 'minyak', 'dunia', 'turun', 'turunnya', 'nih', 'bismillah', 'semoga', 'menular', 'harga', 'bbm', 'yah', 'mata', 'najwa']","['harga', 'minyak', 'dunia', 'turun', 'turun', 'nih', 'bismillah', 'moga', 'tular', 'harga', 'bbm', 'yah', 'mata', 'najwa']",harga minyak dunia turun turun nih bismillah moga tular harga bbm yah mata najwa
11,"Nama: Teuku Erriyan
Kelompok: Hirav (11)

what do you think when you see this meme? munculnya berita hacker bjorka dan juga keputusan presiden tentang naiknya harga bbm dikala situasi yang gundah gulana.

""Kritik Boleh, Tapi Harus Kritis!"" #GALATEA2022 #LKMMPraTD #HimakomUPNVJT https://t.co/9DXV7xRIUr",1,nama teuku erriyan kelompok hirav  what do you think when you see this meme munculnya berita hacker bjorka dan juga keputusan presiden tentang naiknya harga bbm dikala situasi yang gundah gulana kritik boleh tapi harus kritis ,"['nama', 'teuku', 'erriyan', 'kelompok', 'hirav', 'what', 'do', 'you', 'think', 'when', 'you', 'see', 'this', 'meme', 'munculnya', 'berita', 'hacker', 'bjorka', 'dan', 'juga', 'keputusan', 'presiden', 'tentang', 'naiknya', 'harga', 'bbm', 'dikala', 'situasi', 'yang', 'gundah', 'gulana', 'kritik', 'boleh', 'tapi', 'harus', 'kritis']","['nama', 'teuku', 'erriyan', 'kelompok', 'hirav', 'what', 'do', 'you', 'think', 'when', 'you', 'see', 'this', 'meme', 'munculnya', 'berita', 'hacker', 'bjorka', 'keputusan', 'presiden', 'naiknya', 'harga', 'bbm', 'dikala', 'situasi', 'gundah', 'gulana', 'kritik', 'kritis']","['nama', 'teuku', 'erriyan', 'kelompok', 'hirav', 'what', 'do', 'you', 'think', 'when', 'you', 'see', 'this', 'meme', 'muncul', 'berita', 'hacker', 'bjorka', 'putus', 'presiden', 'naik', 'harga', 'bbm', 'kala', 'situasi', 'gundah', 'gulana', 'kritik', 'kritis']",nama teuku erriyan kelompok hirav what do you think when you see this meme muncul berita hacker bjorka putus presiden naik harga bbm kala situasi gundah gulana kritik kritis
12,"Belum Surut, Buruh dan Petani Demo Tolak Kenaikan Harga BBM di DPR
https://t.co/pcJa10nZ4k",0,belum surut buruh dan petani demo tolak kenaikan harga bbm di dpr ,"['belum', 'surut', 'buruh', 'dan', 'petani', 'demo', 'tolak', 'kenaikan', 'harga', 'bbm', 'di', 'dpr']","['surut', 'buruh', 'petani', 'demo', 'tolak', 'kenaikan', 'harga', 'bbm', 'dpr']","['surut', 'buruh', 'tani', 'demo', 'tolak', 'naik', 'harga', 'bbm', 'dpr']",surut buruh tani demo tolak naik harga bbm dpr
13,"@detikcom Harga BBM naik,, tapi para Oknum di Pertamina malah menurunkan Kualitas Produk terutama jenis PERTALITE, sekarang jadi Boros loohh.
Kemana nich BUMN..???
Ambilah Cuan yg wajar... Apa gk malu melihat Masyarakat kelas menengah ke bawah pada menjerit.. Dimana Hatimu",-1, harga bbm naik tapi para oknum di pertamina malah menurunkan kualitas produk terutama jenis pertalite sekarang jadi boros loohh kemana nich bumn ambilah cuan yg wajar apa gk malu melihat masyarakat kelas menengah ke bawah pada menjerit dimana hatimu,"['harga', 'bbm', 'naik', 'tapi', 'para', 'oknum', 'di', 'pertamina', 'malah', 'menurunkan', 'kualitas', 'produk', 'terutama', 'jenis', 'pertalite', 'sekarang', 'jadi', 'boros', 'loohh', 'kemana', 'nich', 'bumn', 'ambilah', 'cuan', 'yg', 'wajar', 'apa', 'gk', 'malu', 'melihat', 'masyarakat', 'kelas', 'menengah', 'ke', 'bawah', 'pada', 'menjerit', 'dimana', 'hatimu']","['harga', 'bbm', 'oknum', 'pertamina', 'menurunkan', 'kualitas', 'produk', 'jenis', 'pertalite', 'boros', 'loohh', 'kemana', 'nich', 'bumn', 'ambilah', 'cuan', 'yg', 'wajar', 'gk', 'malu', 'masyarakat', 'kelas', 'menengah', 'menjerit', 'dimana', 'hatimu']","['harga', 'bbm', 'oknum', 'pertamina', 'turun', 'kualitas', 'produk', 'jenis', 'pertalite', 'boros', 'loohh', 'mana', 'nich', 'bumn', 'ambi', 'cuan', 'yg', 'wajar', 'gk', 'malu', 'masyarakat', 'kelas', 'tengah', 'jerit', 'mana', 'hati']",harga bbm oknum pertamina turun kualitas produk jenis pertalite boros loohh mana nich bumn ambi cuan yg wajar gk malu masyarakat kelas tengah jerit mana hati
